	ntype
CHEBI:27693	protein
PUBCHEM:135626141	protein
PUBCHEM:135626159	protein
CHEBI:15894	protein
PUBCHEM:7120	protein
PUBCHEM:14234	protein
PUBCHEM:163311914	protein
PUBCHEM:163312113	protein
PUBCHEM:172232364	protein
PUBCHEM:172232403	protein
PUBCHEM:254741259	protein
PUBCHEM:254741260	protein
PUBCHEM:254741342	protein
PUBCHEM:254741345	protein
PUBCHEM:254741344	protein
PUBCHEM:254741397	protein
PUBCHEM:254741429	protein
PUBCHEM:254741430	protein
PUBCHEM:254741470	protein
PUBCHEM:273220340	protein
PUBCHEM:273220341	protein
PUBCHEM:273220342	protein
PUBCHEM:273220343	protein
PUBCHEM:318172259	protein
PUBCHEM:318172285	protein
PUBCHEM:329970430	protein
PUBCHEM:329970431	protein
PUBCHEM:329970435	protein
PUBCHEM:346930780	protein
PUBCHEM:346930781	protein
PUBCHEM:354264343	protein
PUBCHEM:354264345	protein
PUBCHEM:355052570	protein
HGNC:14554	protein
PUBCHEM:355052571	protein
PUBCHEM:376218972	protein
PUBCHEM:4427	protein
PUBCHEM:47205136	protein
PUBCHEM:47205168	protein
PUBCHEM:47207657	protein
PUBCHEM:7318	protein
PUBCHEM:7847263	protein
PUBCHEM:7947	protein
CHEBI:28883	protein
PUBCHEM:8383	protein
PUBCHEM:8384	protein
PUBCHEM:8493	protein
PUBCHEM:96024342	protein
PUBCHEM:96024922	protein
PUBCHEM:96025519	protein
CHEBI:15377	protein
HGNC:37200	protein
HGNC:37218	protein
HGNC:5984	protein
HGNC:32934	protein
HGNC:48354	protein
CHEBI:5054	protein
HGNC:1717	protein
CHEBI:16991	protein
HGNC:38856	protein
HGNC:52276	protein
HGNC:1708	protein
HGNC:16345	protein
HGNC:6335	protein
HGNC:16312	protein
HGNC:31488	protein
HGNC:31489	protein
HGNC:31502	protein
HGNC:31503	protein
HGNC:31504	protein
HGNC:31512	protein
HGNC:31513	protein
HGNC:53829	protein
HGNC:30005	protein
HGNC:71	protein
HGNC:11320	protein
HGNC:33904	protein
HGNC:347	protein
HGNC:20125	protein
HGNC:30275	protein
HGNC:30738	protein
HGNC:8177	protein
HGNC:8229	protein
HGNC:15209	protein
HGNC:11217	protein
HGNC:745	protein
HGNC:4131	protein
HGNC:2335	protein
HGNC:1481	protein
HGNC:1553	protein
CHEBI:17996	protein
HGNC:37276	protein
HGNC:52389	protein
HGNC:2431	protein
HGNC:6396	protein
HGNC:6397	protein
HGNC:44196	protein
HGNC:27989	protein
HGNC:32698	protein
HGNC:30389	protein
HGNC:10696	protein
HGNC:13593	protein
HGNC:17069	protein
HGNC:20851	protein
CHEBI:8572	protein
HGNC:23218	protein
HGNC:14373	protein
HGNC:22516	protein
HGNC:48357	protein
HGNC:4766	protein
HGNC:20505	protein
HGNC:51714	protein
CHEBI:26216 29103	protein
HGNC:3233	protein
HGNC:31490	protein
HGNC:31491	protein
HGNC:35384	protein
HGNC:35385	protein
HGNC:31497	protein
HGNC:31505	protein
HGNC:31506	protein
HGNC:31508	protein
HGNC:31517	protein
HGNC:31518	protein
HGNC:31759	protein
HGNC:31520	protein
HGNC:31521	protein
HGNC:31760	protein
HGNC:31523	protein
HGNC:31533	protein
HGNC:31538	protein
HGNC:31590	protein
HGNC:31549	protein
HGNC:31550	protein
HGNC:31551	protein
HGNC:31552	protein
HGNC:32089	protein
HGNC:31554	protein
HGNC:32087	protein
HGNC:31566	protein
HGNC:31587	protein
HGNC:31603	protein
HGNC:31604	protein
HGNC:31605	protein
HGNC:31610	protein
HGNC:31611	protein
HGNC:31624	protein
HGNC:31625	protein
HGNC:31626	protein
HGNC:31627	protein
HGNC:31628	protein
HGNC:31629	protein
HGNC:31631	protein
HGNC:31769	protein
HGNC:31771	protein
HGNC:31772	protein
HGNC:31773	protein
HGNC:31779	protein
HGNC:31787	protein
HGNC:27645	protein
HGNC:32099	protein
HGNC:32105	protein
HGNC:32108	protein
HGNC:32093	protein
HGNC:32116	protein
HGNC:32125	protein
HGNC:32858	protein
HGNC:31650	protein
HGNC:27087	protein
CHEBI:27363 29105	protein
HGNC:7595	protein
HGNC:7596	protein
HGNC:7597	protein
HGNC:7598	protein
HGNC:7599	protein
HGNC:7600	protein
HGNC:13880	protein
HGNC:13879	protein
HGNC:7602	protein
HGNC:7603	protein
HGNC:7604	protein
HGNC:7605	protein
HGNC:42956	protein
HGNC:53781	protein
HGNC:14673	protein
HGNC:15468	protein
HGNC:15467	protein
HGNC:11697	protein
HGNC:11694	protein
HGNC:17905	protein
HGNC:10487	protein
HGNC:25549	protein
HGNC:19245	protein
HGNC:28468	protein
HGNC:14973	protein
HGNC:51507	protein
HGNC:51512	protein
HGNC:51513	protein
HGNC:51514	protein
HGNC:35462	protein
HGNC:35464	protein
HGNC:11305	protein
HGNC:24708	protein
HGNC:12865	protein
HGNC:16366	protein
HGNC:12916	protein
HGNC:12925	protein
HGNC:12939	protein
HGNC:12940	protein
HGNC:12981	protein
HGNC:12999	protein
HGNC:13015	protein
HGNC:13022	protein
HGNC:13498	protein
HGNC:13077	protein
HGNC:13079	protein
HGNC:13090	protein
HGNC:13505	protein
HGNC:13847	protein
HGNC:13842	protein
HGNC:13102	protein
HGNC:19417	protein
HGNC:20817	protein
HGNC:20810	protein
HGNC:23707	protein
HGNC:29385	protein
HGNC:26484	protein
HGNC:26305	protein
HGNC:24722	protein
HGNC:28855	protein
HGNC:26897	protein
HGNC:25292	protein
HGNC:25597	protein
HGNC:32281	protein
HGNC:33202	protein
HGNC:33203	protein
HGNC:12945	protein
HGNC:29448	protein
HGNC:32462	protein
HGNC:32464	protein
HGNC:32470	protein
HGNC:32466	protein
HGNC:32467	protein
HGNC:32468	protein
HGNC:33109	protein
HGNC:33110	protein
HGNC:21806	protein
HGNC:33114	protein
HGNC:33115	protein
HGNC:28071	protein
HGNC:34333	protein
HGNC:27611	protein
HGNC:37273	protein
HGNC:13174	protein
HGNC:13175	protein
HGNC:22214	protein
HGNC:11723	protein
HGNC:16903	protein
CHEBI:138206	protein
CHEBI:138209	protein
CHEBI:57305	protein
CHEBI:138202	protein
CHEBI:29985	protein
CHEBI:132228	protein
CHEBI:138249	protein
CHEBI:138248	protein
CHEBI:140193	protein
CHEBI:137346	protein
CHEBI:137350	protein
CHEBI:137347	protein
CHEBI:137349	protein
CHEBI:140225	protein
CHEBI:138655	protein
CHEBI:140262	protein
CHEBI:138387	protein
CHEBI:CHEBI:132801	protein
CHEBI:137038	protein
CHEBI:131617	protein
CHEBI:CHEBI:16908	protein
CHEBI:29140	protein
CHEBI:CHEBI:17877	protein
CHEBI:15378	protein
CHEBI:1301	protein
CHEBI:63849	protein
CHEBI:63824	protein
CHEBI:27458	protein
CHEBI:29888	protein
CHEBI:63848	protein
CHEBI:48736	protein
CHEBI:63835	protein
CHEBI:63834	protein
CHEBI:63833	protein
CHEBI:63831	protein
CHEBI:63830	protein
CHEBI:63839	protein
CHEBI:63829	protein
CHEBI:63838	protein
CHEBI:37643	protein
CHEBI:CHEBI:29119	protein
CHEBI:29126	protein
CHEBI:CHEBI:15846	protein
CHEBI:65139	protein
CHEBI:64039	protein
CHEBI:63803	protein
CHEBI:15344	protein
CHEBI:13705	protein
CHEBI:17710	protein
CHEBI:CHEBI:28002	protein
CHEBI:15999	protein
CHEBI:30915	protein
CHEBI:58315	protein
CHEBI:16169	protein
CHEBI:138590	protein
CHEBI:140192	protein
CHEBI:91137	protein
CHEBI:136113	protein
CHEBI:138653	protein
CHEBI:138640	protein
CHEBI:140245	protein
CHEBI:72637	protein
CHEBI:140238	protein
CHEBI:65136	protein
CHEBI:140218	protein
CHEBI:72608	protein
CHEBI:140204	protein
CHEBI:140220	protein
CHEBI:140196	protein
CHEBI:140200	protein
CHEBI:72623	protein
CHEBI:140252	protein
CHEBI:132802	protein
CHEBI:137034	protein
CHEBI:CHEBI:138490	protein
CHEBI:138565	protein
CHEBI:CHEBI:81563	protein
CHEBI:63541	protein
CHEBI:15630	protein
CHEBI:83782	protein
CHEBI:15635	protein
CHEBI:CHEBI:17013	protein
CHEBI:18367	protein
CHEBI:CHEBI:16761	protein
CHEBI:12071	protein
CHEBI:63542	protein
CHEBI:138646	protein
CHEBI:140222	protein
CHEBI:140258	protein
CHEBI:91274	protein
CHEBI:140205	protein
CHEBI:140226	protein
CHEBI:140248	protein
CHEBI:140224	protein
CHEBI:136352	protein
CHEBI:140239	protein
CHEBI:63544	protein
CHEBI:53488	protein
CHEBI:140250	protein
CHEBI:63543	protein
CHEBI:140234	protein
CHEBI:140273	protein
CHEBI:140253	protein
CHEBI:140268	protein
CHEBI:140269	protein
CHEBI:140270	protein
CHEBI:CHEBI:133202	protein
CHEBI:CHEBI:133203	protein
CHEBI:CHEBI:63914	protein
CHEBI:CHEBI:28935	protein
CHEBI:CHEBI:27402	protein
CHEBI:32682	protein
CHEBI:37154	protein
CHEBI:32796	protein
CHEBI:16724	protein
CHEBI:57972	protein
CHEBI:15456	protein
CHEBI:10983	protein
CHEBI:17066	protein
CHEBI:64085	protein
CHEBI:64084	protein
CHEBI:422	protein
CHEBI:58769	protein
CHEBI:17388	protein
CHEBI:60039	protein
CHEBI:32797	protein
CHEBI:11805	protein
CHEBI:CHEBI:27668	protein
CHEBI:CHEBI:27868	protein
CHEBI:CHEBI:17976	protein
CHEBI:CHEBI:16742	protein
CHEBI:32816	protein
CHEBI:30797	protein
CHEBI:18012	protein
CHEBI:30744	protein
CHEBI:CHEBI:77364	protein
CHEBI:CHEBI:34055	protein
CHEBI:CHEBI:15817	protein
CHEBI:16110	protein
CHEBI:CHEBI:17504	protein
CHEBI:CHEBI:35366	protein
CHEBI:58168	protein
CHEBI:61232	protein
CHEBI:57560	protein
CHEBI:18303	protein
CHEBI:17636	protein
CHEBI:29089	protein
CHEBI:17389	protein
CHEBI:55458	protein
CHEBI:17594	protein
CHEBI:58444	protein
CHEBI:52603	protein
CHEBI:63818	protein
CHEBI:34718	protein
CHEBI:8927	protein
CHEBI:3210	protein
CHEBI:62923	protein
CHEBI:62926	protein
CHEBI:62931	protein
CHEBI:58795	protein
CHEBI:16723	protein
CHEBI:30751	protein
CHEBI:62833	protein
CHEBI:75562	protein
CHEBI:52288	protein
CHEBI:17868	protein
CHEBI:62746	protein
CHEBI:26034	protein
CHEBI:15935	protein
CHEBI:CHEBI:17659	protein
CHEBI:16187	protein
CHEBI:30913	protein
CHEBI:CHEBI:27391	protein
CHEBI:62637	protein
CHEBI:CHEBI:15422	protein
CHEBI:28010	protein
CHEBI:65049	protein
HGNC:1012	protein
HGNC:9936	protein
HGNC:4206	protein
CHEBI:36190	protein
CHEBI:34144	protein
CHEBI:CHEBI:34146	protein
CHEBI:28130	protein
CHEBI:34159	protein
CHEBI:15559	protein
CHEBI:63992	protein
CHEBI:63993	protein
CHEBI:140263	protein
CHEBI:140264	protein
CHEBI:138601	protein
CHEBI:138602	protein
CHEBI:138642	protein
CHEBI:138641	protein
CHEBI:140202	protein
CHEBI:63843	protein
CHEBI:62845	protein
CHEBI:4866	protein
CHEBI:CHEBI:17985	protein
CHEBI:132908	protein
CHEBI:138542	protein
CHEBI:138477	protein
CHEBI:62918	protein
CHEBI:16881	protein
CHEBI:31697	protein
CHEBI:77008	protein
CHEBI:77010	protein
CHEBI:CHEBI:73979	protein
CHEBI:28497	protein
CHEBI:28938	protein
CHEBI:CHEBI:17622	protein
CHEBI:19569	protein
CHEBI:61560	protein
CHEBI:18274	protein
CHEBI:18036	protein
CHEBI:16516	protein
CHEBI:60431	protein
CHEBI:90152	protein
CHEBI:78277	protein
CHEBI:52450	protein
CHEBI:91144	protein
CHEBI:15366	protein
CHEBI:7125	protein
CHEBI:27923	protein
CHEBI:29044	protein
CHEBI:46828	protein
CHEBI:58020	protein
CHEBI:30831	protein
CHEBI:64181	protein
CHEBI:64182	protein
CHEBI:64180	protein
CHEBI:50774	protein
CHEBI:28542	protein
CHEBI:16132	protein
CHEBI:11563	protein
CHEBI:28843	protein
CHEBI:CHEBI:65119	protein
CHEBI:CHEBI:65129	protein
CHEBI:CHEBI:63208	protein
CHEBI:CHEBI:63211	protein
CHEBI:CHEBI:32587	protein
CHEBI:9008	protein
CHEBI:65101	protein
CHEBI:86988	protein
CHEBI:15475	protein
CHEBI:15522	protein
CHEBI:49189	protein
CHEBI:15477	protein
CHEBI:85944	protein
CHEBI:85945	protein
CHEBI:17082	protein
CHEBI:16810	protein
CHEBI:17126	protein
HGNC:17071	protein
HGNC:15825	protein
CHEBI:18021	protein
CHEBI:33019	protein
CHEBI:37531	protein
CHEBI:61011	protein
CHEBI:27562	protein
CHEBI:63980	protein
CHEBI:63979	protein
CHEBI:CHEBI:18431	protein
CHEBI:35419	protein
CHEBI:35432	protein
CHEBI:CHEBI:41321	protein
CHEBI:32635	protein
CHEBI:37946	protein
CHEBI:32701	protein
CHEBI:35424	protein
CHEBI:17864	protein
CHEBI:35431	protein
CHEBI:27905	protein
CHEBI:35422	protein
CHEBI:35421	protein
CHEBI:86335	protein
HGNC:17936	protein
CHEBI:28450	protein
CHEBI:28774	protein
CHEBI:CHEBI:35430	protein
CHEBI:36062	protein
CHEBI:63797	protein
CHEBI:16382	protein
CHEBI:18327	protein
CHEBI:75571	protein
CHEBI:50775	protein
CHEBI:50776	protein
CHEBI:63841	protein
CHEBI:CHEBI:57655	protein
CHEBI:CHEBI:17399	protein
CHEBI:64183	protein
CHEBI:15793	protein
CHEBI:CHEBI:64972	protein
CHEBI:52977	protein
CHEBI:37248	protein
CHEBI:63904	protein
CHEBI:CHEBI:15371	protein
CHEBI:29200	protein
CHEBI:16094	protein
CHEBI:84646	protein
CHEBI:84648	protein
CHEBI:52974	protein
CHEBI:CHEBI:15495	protein
CHEBI:30933	protein
CHEBI:19324	protein
CHEBI:1670	protein
CHEBI:CHEBI:15519	protein
CHEBI:18402	protein
CHEBI:CHEBI:28701	protein
CHEBI:CHEBI:27393	protein
CHEBI:CHEBI:27428	protein
CHEBI:15494	protein
CHEBI:138612	protein
CHEBI:138618	protein
CHEBI:138647	protein
CHEBI:138643	protein
CHEBI:63842	protein
CHEBI:CHEBI:63856	protein
CHEBI:63874	protein
CHEBI:18344	protein
CHEBI:16244	protein
CHEBI:63844	protein
CHEBI:52386	protein
CHEBI:18034	protein
CHEBI:196991	protein
CHEBI:17742	protein
CHEBI:CHEBI:16891	protein
CHEBI:64136	protein
CHEBI:32812	protein
CHEBI:29991	protein
CHEBI:18240	protein
CHEBI:30763	protein
CHEBI:17105	protein
CHEBI:63910	protein
CHEBI:35179	protein
CHEBI:57844	protein
CHEBI:16836	protein
CHEBI:15374	protein
CHEBI:20680	protein
CHEBI:58533	protein
CHEBI:52449	protein
CHEBI:81560	protein
CHEBI:138563	protein
CHEBI:60473	protein
CHEBI:33384	protein
CHEBI:63907	protein
CHEBI:62772	protein
CHEBI:15375	protein
CHEBI:15372	protein
CHEBI:59513	protein
CHEBI:10545	protein
CHEBI:CHEBI:35746	protein
CHEBI:27468	protein
CHEBI:58828	protein
CHEBI:CHEBI:72801	protein
CHEBI:140244	protein
CHEBI:17284	protein
CHEBI:CHEBI:18319	protein
CHEBI:62985	protein
CHEBI:62928	protein
CHEBI:CHEBI:17202	protein
CHEBI:60175	protein
CHEBI:CHEBI:17552	protein
CHEBI:86351	protein
CHEBI:43263	protein
CHEBI:81559	protein
CHEBI:53056	protein
CHEBI:16863	protein
CHEBI:53059	protein
CHEBI:53058	protein
CHEBI:2208	protein
CHEBI:138613	protein
CHEBI:138617	protein
CHEBI:138645	protein
CHEBI:15266	protein
CHEBI:17825	protein
CHEBI:20794	protein
CHEBI:48834	protein
CHEBI:48833	protein
CHEBI:48778	protein
CHEBI:CHEBI:17500	protein
CHEBI:CHEBI:70963	protein
CHEBI:CHEBI:70964	protein
CHEBI:CHEBI:65134	protein
CHEBI:CHEBI:65135	protein
CHEBI:CHEBI:63728	protein
CHEBI:CHEBI:63223	protein
CHEBI:CHEBI:63220	protein
CHEBI:63802	protein
CHEBI:17712	protein
CHEBI:CHEBI:16960	protein
CHEBI:78679	protein
CHEBI:17797	protein
CHEBI:76931	protein
CHEBI:16953	protein
CHEBI:81621	protein
CHEBI:75129	protein
CHEBI:62634	protein
CHEBI:75127	protein
CHEBI:75130	protein
CHEBI:16897	protein
CHEBI:15946	protein
CHEBI:15824	protein
CHEBI:18105	protein
CHEBI:16077	protein
CHEBI:18066	protein
CHEBI:52639	protein
CHEBI:17761	protein
CHEBI:CHEBI:15748	protein
CHEBI:CHEBI:13115	protein
CHEBI:4178	protein
CHEBI:57737	protein
CHEBI:16905	protein
CHEBI:32398	protein
CHEBI:35374	protein
CHEBI:17369	protein
CHEBI:35425	protein
CHEBI:CHEBI:47013	protein
CHEBI:58527	protein
CHEBI:151	protein
CHEBI:30769	protein
CHEBI:CHEBI:17140	protein
CHEBI:140274	protein
CHEBI:140223	protein
CHEBI:CHEBI:141634	protein
CHEBI:CHEBI:141635	protein
CHEBI:86476	protein
CHEBI:17009	protein
CHEBI:18914	protein
CHEBI:53742	protein
CHEBI:CHEBI:53022	protein
CHEBI:18396	protein
CHEBI:59085	protein
CHEBI:16944	protein
CHEBI:77028	protein
CHEBI:9066	protein
CHEBI:59869	protein
CHEBI:29073	protein
CHEBI:17242	protein
CHEBI:58048	protein
CHEBI:21547	protein
CHEBI:35235	protein
CHEBI:60102	protein
CHEBI:21347	protein
CHEBI:60872	protein
CHEBI:49108	protein
CHEBI:58359	protein
CHEBI:17533	protein
CHEBI:59888	protein
CHEBI:CHEBI:17677	protein
CHEBI:15873	protein
CHEBI:17884	protein
CHEBI:30882	protein
CHEBI:32513	protein
CHEBI:30817	protein
CHEBI:58045	protein
CHEBI:57427	protein
CHEBI:32551	protein
CHEBI:49032	protein
CHEBI:49031	protein
CHEBI:15414	protein
CHEBI:58095	protein
CHEBI:18005	protein
CHEBI:57926	protein
CHEBI:CHEBI:73687	protein
CHEBI:57912	protein
CHEBI:18377	protein
CHEBI:43451	protein
CHEBI:57762	protein
CHEBI:CHEBI:17151	protein
CHEBI:17927	protein
CHEBI:30322	protein
CHEBI:17312	protein
CHEBI:60637	protein
CHEBI:59087	protein
CHEBI:60625	protein
CHEBI:60615	protein
CHEBI:60651	protein
CHEBI:40196	protein
CHEBI:CHEBI:16830	protein
CHEBI:21891	protein
CHEBI:25682	protein
CHEBI:17170	protein
CHEBI:47823	protein
CHEBI:16858	protein
CHEBI:21507	protein
CHEBI:18278	protein
CHEBI:18341	protein
CHEBI:24275	protein
CHEBI:17806	protein
CHEBI:75133	protein
CHEBI:18390	protein
CHEBI:52571	protein
CHEBI:CHEBI:22221	protein
CHEBI:CHEBI:31998	protein
CHEBI:CHEBI:33575	protein
CHEBI:59520	protein
CHEBI:88130	protein
CHEBI:CHEBI:17931	protein
CHEBI:16580	protein
CHEBI:16737	protein
CHEBI:52592	protein
CHEBI:71980	protein
CHEBI:71063	protein
CHEBI:14649	protein
CHEBI:59084	protein
CHEBI:59089	protein
CHEBI:59092	protein
CHEBI:87752	protein
CHEBI:27814	protein
CHEBI:29132	protein
CHEBI:31932	protein
CHEBI:CHEBI:46640	protein
CHEBI:48416	protein
CHEBI:CHEBI:15996	protein
CHEBI:63689	protein
CHEBI:58450	protein
CHEBI:86019	protein
CHEBI:87167	protein
CHEBI:17230	protein
CHEBI:31882	protein
CHEBI:17319	protein
CHEBI:59648	protein
CHEBI:63861	protein
CHEBI:CHEBI:16223	protein
CHEBI:15761	protein
CHEBI:48765	protein
CHEBI:16005	protein
HGNC:11469	protein
HGNC:3482	protein
HGNC:6327	protein
CHEBI:CHEBI:30751	protein
CHEBI:58548	protein
CHEBI:17728	protein
CHEBI:50091	protein
CHEBI:15857	protein
CHEBI:61088	protein
CHEBI:59637	protein
CHEBI:16086	protein
CHEBI:18307	protein
CHEBI:36219	protein
HGNC:12559	protein
CHEBI:16650	protein
CHEBI:18259	protein
CHEBI:17122	protein
CHEBI:CHEBI:64189	protein
CHEBI:91125	protein
CHEBI:16427	protein
CHEBI:133667	protein
CHEBI:133015	protein
CHEBI:63807	protein
CHEBI:63645	protein
CHEBI:15960	protein
CHEBI:CHEBI:17984	protein
CHEBI:CHEBI:10036	protein
CHEBI:CHEBI:74452	protein
CHEBI:2485	protein
CHEBI:53106	protein
CHEBI:53107	protein
CHEBI:53108	protein
CHEBI:78586	protein
CHEBI:78577	protein
CHEBI:17118	protein
CHEBI:17411	protein
CHEBI:28273	protein
CHEBI:134407	protein
CHEBI:15367	protein
HGNC:10024	protein
CHEBI:7896	protein
CHEBI:CHEBI:16551	protein
CHEBI:63811	protein
CHEBI:63806	protein
CHEBI:63505	protein
CHEBI:63808	protein
CHEBI:63810	protein
CHEBI:16189	protein
CHEBI:63805	protein
CHEBI:91284	protein
CHEBI:91280	protein
CHEBI:91279	protein
CHEBI:71553	protein
CHEBI:91124	protein
CHEBI:61248	protein
CHEBI:18313	protein
CHEBI:59081	protein
CHEBI:CHEBI:53020	protein
CHEBI:42548	protein
CHEBI:42589	protein
CHEBI:37637	protein
CHEBI:59088	protein
CHEBI:59091	protein
CHEBI:15681	protein
CHEBI:CHEBI:34450	protein
CHEBI:CHEBI:34306	protein
CHEBI:CHEBI:63998	protein
CHEBI:63989	protein
CHEBI:63590	protein
CHEBI:CHEBI:19138	protein
CHEBI:34151	protein
CHEBI:63821	protein
CHEBI:CHEBI:29866	protein
CHEBI:65088	protein
CHEBI:85880	protein
CHEBI:81626	protein
CHEBI:30746	protein
CHEBI:63503	protein
CHEBI:CHEBI:15936	protein
CHEBI:63516	protein
CHEBI:28037	protein
CHEBI:63873	protein
CHEBI:63517	protein
CHEBI:63519	protein
CHEBI:63850	protein
CHEBI:63851	protein
CHEBI:63846	protein
CHEBI:64024	protein
CHEBI:63852	protein
CHEBI:63853	protein
CHEBI:63809	protein
CHEBI:28481	protein
CHEBI:63666	protein
CHEBI:63868	protein
CHEBI:18915	protein
CHEBI:86336	protein
CHEBI:12387	protein
CHEBI:17960	protein
CHEBI:53153	protein
CHEBI:32325	protein
CHEBI:1784	protein
CHEBI:30772	protein
CHEBI:15473	protein
CHEBI:29108	protein
CHEBI:29105	protein
CHEBI:15379	protein
CHEBI:62726	protein
CHEBI:CHEBI:16359	protein
CHEBI:85939	protein
CHEBI:16304	protein
CHEBI:61907	protein
CHEBI:15538	protein
CHEBI:CHEBI:51341	protein
CHEBI:61910	protein
CHEBI:CHEBI:15537	protein
CHEBI:37240	protein
HGNC:23293	protein
CHEBI:29036	protein
CHEBI:17439	protein
CHEBI:18407	protein
CHEBI:4026	protein
CHEBI:61168	protein
CHEBI:62579	protein
CHEBI:29799	protein
CHEBI:16301	protein
CHEBI:67132	protein
CHEBI:CHEBI:60240	protein
CHEBI:36005	protein
CHEBI:72790	protein
CHEBI:30805	protein
CHEBI:39567	protein
CHEBI:CHEBI:53023	protein
CHEBI:CHEBI:53019	protein
CHEBI:63983	protein
CHEBI:63984	protein
CHEBI:63985	protein
CHEBI:63986	protein
CHEBI:50277	protein
CHEBI:CHEBI:28868	protein
CHEBI:37554	protein
CHEBI:52572	protein
CHEBI:47983	protein
CHEBI:36144	protein
CHEBI:29120	protein
CHEBI:CHEBI:17627	protein
CHEBI:16518	protein
CHEBI:61048	protein
CHEBI:51013	protein
CHEBI:57533	protein
CHEBI:24479	protein
CHEBI:52966	protein
CHEBI:CHEBI:52975	protein
CHEBI:16125	protein
CHEBI:75584	protein
CHEBI:CHEBI:17359	protein
CHEBI:21363	protein
CHEBI:17606	protein
CHEBI:24757	protein
CHEBI:33101	protein
CHEBI:16234	protein
CHEBI:75627	protein
CHEBI:52328	protein
CHEBI:18248	protein
CHEBI:78619	protein
CHEBI:CHEBI:17378	protein
CHEBI:27889	protein
CHEBI:CHEBI:28912	protein
CHEBI:CHEBI:27931	protein
CHEBI:17351	protein
CHEBI:83727	protein
CHEBI:27700	protein
CHEBI:64483	protein
CHEBI:11230	protein
CHEBI:18420	protein
CHEBI:29035	protein
CHEBI:59554	protein
CHEBI:CHEBI:14597	protein
CHEBI:17826	protein
CHEBI:77062	protein
CHEBI:25372	protein
CHEBI:58698	protein
CHEBI:16504	protein
CHEBI:64689	protein
CHEBI:168396	protein
CHEBI:16507	protein
CHEBI:17632	protein
CHEBI:25567	protein
CHEBI:57930	protein
CHEBI:73316	protein
CHEBI:16862	protein
CHEBI:17326	protein
CHEBI:26558	protein
CHEBI:CHEBI:25696	protein
CHEBI:85867	protein
CHEBI:CHEBI:53152	protein
CHEBI:7916	protein
CHEBI:CHEBI:7794	protein
CHEBI:30879	protein
CHEBI:17936	protein
CHEBI:16285	protein
CHEBI:29103	protein
CHEBI:CHEBI:63837	protein
CHEBI:134117	protein
CHEBI:28867	protein
CHEBI:27820	protein
CHEBI:27555	protein
CHEBI:63975	protein
CHEBI:28099	protein
CHEBI:63999	protein
CHEBI:27485	protein
CHEBI:63977	protein
CHEBI:566274	protein
CHEBI:18191	protein
CHEBI:63912	protein
CHEBI:140267	protein
CHEBI:28158	protein
CHEBI:140243	protein
CHEBI:18116	protein
CHEBI:17802	protein
CHEBI:26523	protein
CHEBI:81564	protein
CHEBI:17972	protein
CHEBI:16914	protein
CHEBI:26634	protein
CHEBI:29101	protein
CHEBI:17600	protein
CHEBI:17585	protein
CHEBI:26833	protein
CHEBI:15967	protein
CHEBI:28728	protein
CHEBI:28667	protein
CHEBI:27283	protein
CHEBI:49552	protein
CHEBI:CHEBI:18367	protein
CHEBI:71580	protein
CHEBI:36700	protein
CHEBI:16144	protein
CHEBI:CHEBI:16238	protein
CHEBI:CHEBI:17621	protein
CHEBI:CHEBI:17239	protein
CHEBI:CHEBI:17808	protein
HGNC:12749	protein
HGNC:16956	protein
HGNC:5392	protein
HGNC:30164	protein
HGNC:24724	protein
HGNC:20726	protein
HGNC:18022	protein
HGNC:3318	protein
HGNC:23360	protein
HGNC:6316	protein
HGNC:19274	protein
HGNC:3093	protein
HGNC:17272	protein
HGNC:19042	protein
HGNC:24966	protein
HGNC:19715	protein
HGNC:29134	protein
HGNC:10666	protein
HGNC:30897	protein
HGNC:16967	protein
HGNC:7112	protein
HGNC:3120	protein
HGNC:16098	protein
HGNC:7910	protein
HGNC:9787	protein
HGNC:3360	protein
HGNC:8933	protein
HGNC:3444	protein
HGNC:18114	protein
HGNC:18117	protein
HGNC:2990	protein
HGNC:18116	protein
HGNC:20278	protein
HGNC:1940	protein
HGNC:12367	protein
CHEBI:CHEBI:16039	protein
CHEBI:76279	protein
CHEBI:30089	protein
CHEBI:CHEBI:77268	protein
CHEBI:57967	protein
CHEBI:63911	protein
CHEBI:63800	protein
CHEBI:63804	protein
CHEBI:63905	protein
CHEBI:CHEBI:64043	protein
CHEBI:34477	protein
CHEBI:29133	protein
CHEBI:63859	protein
CHEBI:27510	protein
CHEBI:63840	protein
CHEBI:63799	protein
CHEBI:17245	protein
CHEBI:64729	protein
CHEBI:CHEBI:29805	protein
CHEBI:133817	protein
CHEBI:47828	protein
CHEBI:47266	protein
CHEBI:29138	protein
CHEBI:29129	protein
CHEBI:15882	protein
CHEBI:63828	protein
CHEBI:15724	protein
HGNC:2338	protein
CHEBI:CHEBI:17347	protein
CHEBI:CHEBI:15713	protein
CHEBI:CHEBI:10049	protein
CHEBI:CHEBI:421707	protein
CHEBI:13719	protein
CHEBI:CHEBI:30762	protein
CHEBI:CHEBI:52575	protein
CHEBI:CHEBI:2877	protein
CHEBI:17790	protein
CHEBI:40538	protein
CHEBI:17169	protein
CHEBI:CHEBI:421843	protein
CHEBI:CHEBI:36916	protein
CHEBI:85781	protein
CHEBI:9254	protein
CHEBI:73204	protein
CHEBI:84373	protein
CHEBI:28509	protein
CHEBI:41001	protein
CHEBI:28794	protein
