	ntype
HGNC:1964	protein
HGNC:2594	protein
HGNC:1912	protein
DRUGBANK:DB00185	drug
HGNC:1952	protein
HGNC:1950	protein
DRUGBANK:DB00186	drug
HGNC:4075	protein
HGNC:4076	protein
HGNC:4077	protein
HGNC:4078	protein
HGNC:4079	protein
HGNC:4080	protein
HGNC:4081	protein
HGNC:4082	protein
HGNC:4083	protein
HGNC:4084	protein
HGNC:4085	protein
HGNC:4086	protein
HGNC:4087	protein
HGNC:4088	protein
HGNC:4089	protein
HGNC:14454	protein
HGNC:1158	protein
DRUGBANK:DB00188	drug
HGNC:9537	protein
DRUGBANK:DB00191	drug
HGNC:7955	protein
DRUGBANK:DB00192	drug
HGNC:10593	protein
DRUGBANK:DB00193	drug
HGNC:8156	protein
HGNC:5295	protein
HGNC:8154	protein
HGNC:8153	protein
HGNC:11526	protein
HGNC:10588	protein
HGNC:262	protein
DRUGBANK:DB00198	drug
HGNC:7758	protein
HGNC:7759	protein
DRUGBANK:DB00199	drug
DRUGBANK:DB00200	drug
HGNC:11652	protein
HGNC:14604	protein
HGNC:2548	protein
HGNC:19331	protein
DRUGBANK:DB00201	drug
HGNC:8774	protein
HGNC:8775	protein
HGNC:8776	protein
HGNC:8772	protein
HGNC:8780	protein
HGNC:8782	protein
HGNC:8792	protein
HGNC:8777	protein
HGNC:8778	protein
HGNC:8779	protein
HGNC:8784	protein
HGNC:8787	protein
HGNC:8773	protein
HGNC:8791	protein
HGNC:8793	protein
HGNC:8794	protein
HGNC:8795	protein
HGNC:8785	protein
HGNC:8786	protein
HGNC:9413	protein
HGNC:8977	protein
HGNC:8975	protein
HGNC:8976	protein
HGNC:6181	protein
HGNC:6182	protein
HGNC:795	protein
DRUGBANK:DB00202	drug
HGNC:13800	protein
HGNC:1951	protein
DRUGBANK:DB00203	drug
HGNC:8789	protein
HGNC:8790	protein
DRUGBANK:DB00204	drug
HGNC:6277	protein
HGNC:6258	protein
DRUGBANK:DB00205	drug
HGNC:4879	protein
DRUGBANK:DB00206	drug
HGNC:593	protein
DRUGBANK:DB00207	drug
HGNC:18368	protein
DRUGBANK:DB00208	drug
HGNC:18124	protein
DRUGBANK:DB00209	drug
DRUGBANK:DB00210	drug
HGNC:10478	protein
HGNC:10479	protein
HGNC:6204	protein
HGNC:11848	protein
DRUGBANK:DB00211	drug
DRUGBANK:DB00213	drug
HGNC:819	protein
HGNC:2715	protein
DRUGBANK:DB00214	drug
HGNC:10910	protein
HGNC:10911	protein
DRUGBANK:DB00215	drug
HGNC:5182	protein
DRUGBANK:DB00216	drug
HGNC:5294	protein
HGNC:5302	protein
DRUGBANK:DB00217	drug
HGNC:6255	protein
DRUGBANK:DB00218	drug
HGNC:11989	protein
DRUGBANK:DB00219	drug
DRUGBANK:DB00221	drug
DRUGBANK:DB00222	drug
HGNC:6257	protein
HGNC:59	protein
DRUGBANK:DB00223	drug
HGNC:7978	protein
DRUGBANK:DB00226	drug
DRUGBANK:DB00227	drug
HGNC:6148	protein
DRUGBANK:DB00228	drug
HGNC:6293	protein
HGNC:6218	protein
HGNC:13211	protein
HGNC:837	protein
DRUGBANK:DB00230	drug
DRUGBANK:DB00231	drug
HGNC:4090	protein
HGNC:4091	protein
HGNC:17969	protein
DRUGBANK:DB00233	drug
HGNC:1974	protein
HGNC:13414	protein
DRUGBANK:DB00234	drug
DRUGBANK:DB00237	drug
HGNC:1958	protein
DRUGBANK:DB00239	drug
DRUGBANK:DB00240	drug
DRUGBANK:DB00241	drug
DRUGBANK:DB00242	drug
HGNC:10451	protein
HGNC:10452	protein
HGNC:17296	protein
HGNC:9173	protein
HGNC:9177	protein
HGNC:9178	protein
HGNC:13546	protein
HGNC:18755	protein
HGNC:7892	protein
DRUGBANK:DB00243	drug
HGNC:10585	protein
HGNC:10582	protein
HGNC:10583	protein
HGNC:10590	protein
HGNC:10591	protein
HGNC:10594	protein
HGNC:10596	protein
HGNC:10597	protein
HGNC:10586	protein
HGNC:10589	protein
HGNC:20665	protein
HGNC:10592	protein
HGNC:6260	protein
HGNC:6263	protein
HGNC:6265	protein
DRUGBANK:DB00244	drug
HGNC:5960	protein
HGNC:7218	protein
DRUGBANK:DB00245	drug
DRUGBANK:DB00246	drug
HGNC:3020	protein
HGNC:3026	protein
HGNC:3024	protein
HGNC:3025	protein
HGNC:5301	protein
